Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
Real Drift Multiplayer,₺15,"Simülasyon, Yarış, Bağımsız, Tek Oyunculu, Online Multiplayer",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/real-drift-multiplayer-4bdd6d
Underworld Defense,₺38,"Tek Oyunculu, Kule Savunması",,Kaciola Games,PEGI 7,https://store.epicgames.com/tr/p/underworld-defense-9a270a
Secret Agent 001,₺15,"Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Spor",,Atomic Fabrik,PEGI 7,https://store.epicgames.com/tr/p/obelixes-tower-defense-0efb67
Mega City Force,₺149,"Bulut Kayıtları, Tek Oyunculu, Aksiyon",,Undreamed Games,PEGI 12,https://store.epicgames.com/tr/p/mega-city-force-22a245
100 Doors - Escape from Prison,₺76,"Bulmaca, Tek Oyunculu",,Peaksel,PEGI 3,https://store.epicgames.com/tr/p/100-doors-escape-from-prison-1e0ba3
Hush Hush,₺149,"Simülasyon, RYO, Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Macera",,Sad Panda Studios,PEGI 16,https://store.epicgames.com/tr/p/hush-hush-5c1fa0
Deadlink,₺149,"Tek Oyunculu, Nişancı, Birinci Şahıs, Aksiyon",,Gruby Entertainment,PEGI 18,https://store.epicgames.com/tr/p/deadlink-6bb676
Access Denied: Escape,₺38,"Kumanda Desteği, Macera, Tek Oyunculu, Bulmaca, Birinci Şahıs",,Stately Snail,PEGI 7,https://store.epicgames.com/tr/p/access-denied-escape-1d486e
Homeworld Remastered Collection,₺55,"Çok Oyunculu, Tek Oyunculu, Strateji, Başarılar",,Gearbox Publishing,PEGI 7,https://store.epicgames.com/tr/p/homeworld-remastered-collection
SPACE ELITE FORCE,₺23,"Kumanda Desteği, Nişancı, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Retro, Yerel Çok Oyunculu",,Rising Moon Games,PEGI 7,https://store.epicgames.com/tr/p/space-elite-force-a00006
The Future Project,₺76,"Nişancı, Aksiyon-Macera, Keşif, Bulut Kayıtları, Tek Oyunculu",,Infinite Level,PEGI 7,https://store.epicgames.com/tr/p/the-future-project-f19b52
Tour de France 2023,₺340,"Simülasyon, Kumanda Desteği, Çok Oyunculu, Tek Oyunculu, Başarılar",,Cyanide,,https://store.epicgames.com/tr/p/tour-de-france-2023
Nova Strike,₺155,"Kumanda Desteği, Nişancı, Aksiyon, Başarılar",,SANUK GAMES,,https://store.epicgames.com/tr/p/nova-strike
PixelJunk Scrappers Deluxe,₺189,"Kumanda Desteği, Rekabetçi, Çok Oyunculu, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Başarılar","Arapça, İngilizce, Basitleştirilmiş Çince, Geleneksel Çince, Felemenkçe, Fransızca, Almanca, İtalyanca, Japonca, Korece, Portekizce, Rusça, İspanyolca (İspanya), Türkçe",Q-Games,,https://store.epicgames.com/tr/p/pixeljunk-scrappers-deluxe
The Expanse: A Telltale Series,₺189,"Macera, Tek Oyunculu, Aksiyon",,Deck Nine,PEGI 18,https://store.epicgames.com/tr/p/the-expanse-a-telltale-series
Organs Please,"₺64,20","Simülasyon, RYO, Tek Oyunculu, Strateji",,TECHHOME,PEGI 16,https://store.epicgames.com/tr/p/organs-please-a5e5e4
Bloxs,₺61,"Macera, Tek Oyunculu, Bağımsız, Platform",,Landmark Digital Productions,PEGI 3,https://store.epicgames.com/tr/p/bloxs-aae143
Ratchet & Clank: Ayrı Dünyalar,₺1.099,"Kumanda Desteği, Platform, Bulut Kayıtları, Tek Oyunculu, Macera",,"Insomniac Games, Nixxes Software",PEGI 7,https://store.epicgames.com/tr/p/ratchet-clank-rift-apart
Monster Boy and the Cursed Kingdom,₺229,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,Game Atelier,PEGI 7,https://store.epicgames.com/tr/p/monster-boy-and-the-cursed-kingdom-bf6c48
School Bus Driving Simulator,₺8,"Simülasyon, Açık Dünya, Tek Oyunculu, Yarış",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/school-bus-driving-simulator-b878a8
Police Car SUV Simulator,₺8,"Açık Dünya, Tek Oyunculu, Keşif, Yarış",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/police-car-suv-simulator-092560
Remnant II®,"₺1.188,07","Kumanda Desteği, Nişancı, Aksiyon, Eşli, Tek Oyunculu, Macera",,Gunfire Games,PEGI 18,https://store.epicgames.com/tr/p/remnant-2
Dungeon Fighter Online,,"RYO, Aksiyon, Eşli, Çapraz Platform, Online Multiplayer",,"Neople, INC",PEGI 7,https://store.epicgames.com/tr/p/dungeon-fighter-online
Mr. Run and Jump,₺189,"Kumanda Desteği, Platform, Tek Oyunculu, Bağımsız, Retro",,Graphite Lab,PEGI 3,https://store.epicgames.com/tr/p/mr-run-and-jump-91ed30
100 Worlds - Escape Room Game,₺76,"Bulmaca, Tek Oyunculu",,Peaksel,PEGI 3,https://store.epicgames.com/tr/p/100-worlds-escape-the-room-c6f972
Baby Adventure,₺31,"Tek Oyunculu, Platform",,Jordan Ferrad,PEGI 3,https://store.epicgames.com/tr/p/baby-adventure-b14244
Raini: The Lords of Light,,"Strateji, Rekabetçi, Kart Oyunu, Tek Oyunculu, Çapraz Platform",,Raini Studios,PEGI 18,https://store.epicgames.com/tr/p/raini-the-lords-of-light-eaeed0
City Car Parking Simulator,₺8,"Simülasyon, Yarış, Bağımsız, Tek Oyunculu",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/city-car-parking-simulator-231485
Police Car Escape Simulator,₺8,"Yarış, Bağımsız, Aksiyon, Tek Oyunculu",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/police-car-escape-simulator-f9cd17
Sakura Bunny Girls,₺76,"Tek Oyunculu, Hikaye Anlatımı",,Winged Cloud,PEGI 16,https://store.epicgames.com/tr/p/sakura-bunny-girls-adfbe8
Precious Stones,,"Tek Oyunculu, Platform, Rekabetçi",,funball studios,PEGI 3,https://store.epicgames.com/tr/p/precious-stones-ab13c8
Garbage Truck Driving Simulator,₺8,"Simülasyon, Açık Dünya, Tek Oyunculu, Yarış",,Samet Acar,PEGI 3,https://store.epicgames.com/tr/p/garbage-truck-driving-simulator-5dcc67
Ship Simulator Realistic,₺349,"Simülasyon, Açık Dünya, Tek Oyunculu, Yerel Çok Oyunculu, Online Multiplayer, Basit Eğlence",,Gregory Nikolaidis,PEGI 3,https://store.epicgames.com/tr/p/ship-simulator-realistic-434fc0
ACL Pro Cornhole,₺229,"Simülasyon, Kumanda Desteği, Çok Oyunculu, Bulut Kayıtları, Tek Oyunculu, Spor",,"FarSight Studios, Inc.",PEGI 3,https://store.epicgames.com/tr/p/acl-pro-cornhole-4dd419
Eternal Evil,₺149,"Hayatta Kalma, Kumanda Desteği, Tek Oyunculu, Birinci Şahıs, Korku",,Honor Games,PEGI 18,https://store.epicgames.com/tr/p/eternal-evil-ca15ca
Kula,₺54,"Tek Oyunculu, Bağımsız, Platform, Strateji",,Morten Thomasstuen,PEGI 3,https://store.epicgames.com/tr/p/kula-cacc6a
Punch Club 2: Fast Forward,₺190,"Simülasyon, Kumanda Desteği, Tek Oyunculu",,Lazy Bear Games,PEGI 12,https://store.epicgames.com/tr/p/punch-club-2-fast-forward-46d985
Tri6: Infinite,₺111,"Kumanda Desteği, Rekabetçi, Yarış, Aksiyon, Bulut Kayıtları, Bağımsız, Tek Oyunculu",,Clockwork Origins,PEGI 7,https://store.epicgames.com/tr/p/tri6-infinite-3ac4cc
The Elder Scrolls Online,₺349,"RYO, Eşli, Açık Dünya, Tek Oyunculu, Online Multiplayer",,ZeniMax Online Studios,PEGI 18,https://store.epicgames.com/tr/p/the-elder-scrolls-online
Elemental War 2,₺279,"Kumanda Desteği, Strateji, Eşli, Bulut Kayıtları, Bağımsız, Kule Savunması, Tek Oyunculu, Çapraz Platform",,Clockwork Origins,PEGI 7,https://store.epicgames.com/tr/p/elemental-war-2-d7db6e
Palladium: Adventure in Greece,₺76,"Kumanda Desteği, Keşif, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform, Macera, Birinci Şahıs",,NLB project,PEGI 12,https://store.epicgames.com/tr/p/palladium-adventure-in-greece-f1ee1b
Stillborn Slayer,₺67,"RYO, Kumanda Desteği, Aksiyon, Eşli, Rogue-lite, Tek Oyunculu",,Apushev Vitaly,PEGI 7,https://store.epicgames.com/tr/p/stillborn-slayer-298dd7
One Military Camp,"₺176,25","Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Şehir Kurma",,Abylight Barcelona,PEGI 12,https://store.epicgames.com/tr/p/one-military-camp-8db1f6
Dimension Drive,₺99,"Nişancı, Aksiyon, Eşli, Bulut Kayıtları, Bağımsız, Tek Oyunculu",,2Awesome Studio,PEGI 7,https://store.epicgames.com/tr/p/dimension-drive-70a456
Lost Wing,₺61,"Bulut Kayıtları, Tek Oyunculu, Aksiyon, Kumanda Desteği",,BoxFrog Games,PEGI 7,https://store.epicgames.com/tr/p/lost-wing-074a1b
Raid: Shadow Legends,,"RYO, MMO, Aksiyon, Tek Oyunculu, Çapraz Platform",,Plarium Global Ltd,PEGI 12,https://store.epicgames.com/tr/p/raid-shadow-legends-b70e14
Revive & Prosper: Prologue,,"Şehir Kurma, Tek Oyunculu, Bağımsız, Strateji",,Mystiqular,PEGI 3,https://store.epicgames.com/tr/p/revive-and-prosper-prequel-bf20c6
Run A Café,₺149,"Simülasyon, Tek Oyunculu, Strateji",,PixelRift Studios,PEGI 3,https://store.epicgames.com/tr/p/run-a-cafe-58705c
Snowbreak:Containment Zone,,"RYO, Kumanda Desteği, Nişancı, Aksiyon-Macera, Tek Oyunculu, Çapraz Platform",,SEASUN GAMES PTE. LTD.,PEGI 12,https://store.epicgames.com/tr/p/snowbreak-containment-zone-abc820
Train World,₺279,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Strateji",,Turn Point Games,PEGI 3,https://store.epicgames.com/tr/p/train-world-07e156
Cramped Room of Death,₺115,"Bulmaca, Tek Oyunculu, Keşif",,Hafiz Mohd Rozlan,PEGI 7,https://store.epicgames.com/tr/p/cramped-room-of-death-b0e3c3
Oirbo,₺115,"Kumanda Desteği, Aksiyon-Macera, Keşif, Bulut Kayıtları, Açık Dünya, Tek Oyunculu",,ImaginationOverflow,PEGI 7,https://store.epicgames.com/tr/p/oirbo-c063b7
Murder Is Game Over: Streaming Death,₺38,"Kumanda Desteği, Keşif, Tek Oyunculu, Macera, Basit Eğlence",,HitherYon Games,PEGI 7,https://store.epicgames.com/tr/p/murder-is-game-over-streaming-death-951812
REMEDIUM: Sentinels,₺89,"Tek Oyunculu, Bağımsız, Aksiyon, Rogue-lite",,Sobaka Studio,PEGI 16,https://store.epicgames.com/tr/p/remedium-sentinels-b5debd
Outliver: Tribulation,₺61,"Kumanda Desteği, Nişancı, Aksiyon-Macera, Tek Oyunculu, Korku",,GBROSSOFT,PEGI 16,https://store.epicgames.com/tr/p/outliver-tribulations-679884
Xenonauts 2,₺999,"Strateji, Uzay, Bulut Kayıtları, Tek Oyunculu, Sıra Temelli",,Goldhawk Interactive,PEGI 16,https://store.epicgames.com/tr/p/xenonauts-2-42a236
Insomnis,₺99,"Kumanda Desteği, Tek Oyunculu, Bağımsız, Bulmaca, Korku",,Path Games,PEGI 16,https://store.epicgames.com/tr/p/insomnis-2c51e7
My Summer Adventure: Memories of Another Life,₺99,"RYO, Tek Oyunculu, Hikaye Anlatımı",,Alkinoy,PEGI 16,https://store.epicgames.com/tr/p/my-summer-adventure-memories-of-another-life-e30d54
Lords Mobile,,"RYO, MMO, Strateji, Çapraz Platform",,IGG SINGAPORE PTE. LTD.,PEGI 7,https://store.epicgames.com/tr/p/lords-mobile-014f32
Two Skateboards Driving Simulator,₺15,"Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Basit Eğlence",,Atomic Fabrik,PEGI 3,https://store.epicgames.com/tr/p/two-skateboards-driving-simulator-c0ea1f
Subwar 2050,₺17,"Simülasyon, Tek Oyunculu, Strateji, Aksiyon",,Particle Systems Ltd.,,https://store.epicgames.com/tr/p/subwar-2050-9ec629
Sylvio And The Moutain Giants,,"Kumanda Desteği, Platform, Açık Dünya, Bağımsız, Tek Oyunculu",,scroow,PEGI 7,https://store.epicgames.com/tr/p/sylvio-and-the-mountains-giants-e336bb
Dynopunk,₺149,"Simülasyon, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",,TomatoFantasyGames,PEGI 12,https://store.epicgames.com/tr/p/dynopunk-2035f5
field peas~Sayaendou~,₺38,"Korku, Tek Oyunculu, Birinci Şahıs, Komedi",,Kudou,PEGI 7,https://store.epicgames.com/tr/p/test-dd068f
Zombie Watch,₺92,"Hayatta Kalma, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,David Grof,PEGI 16,https://store.epicgames.com/tr/p/zombie-watch-facb90
Gravity Circuit,₺287,"Platform, Bağımsız, Aksiyon, Tek Oyunculu",,Domesticated Ant Games,PEGI 7,https://store.epicgames.com/tr/p/gravity-circuit-489baa
Testament: The Order of High Human,₺229,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera, Birinci Şahıs",,Fairyship Games,PEGI 12,https://store.epicgames.com/tr/p/testament-the-order-of-high-human-f5b552
Beach Invasion 1944,₺76,"Kumanda Desteği, Nişancı, Aksiyon, Tek Oyunculu, Basit Eğlence",,Aix2 Games,PEGI 16,https://store.epicgames.com/tr/p/beach-invasion-1944-d654d6
A Second Before The War,,"Bulmaca, Tek Oyunculu, Bağımsız, Strateji",,Kaunitz Games,PEGI 3,https://store.epicgames.com/tr/p/a-second-before-the-war-55b226
mummification,₺8,"Tek Oyunculu, Aksiyon",,Archor Wright,PEGI 16,https://store.epicgames.com/tr/p/mummification-5a93ca
I Need Spirit! Drink & Drive Simulator,₺15,"Kumanda Desteği, Yarış, Keşif, Tek Oyunculu, Komedi",,Atomic Fabrik,PEGI 16,https://store.epicgames.com/tr/p/need-for-spirit-drink-and-drive-simulator-db9660
The Legend of Heroes: Trails into Reverie,₺640,"RYO, Tek Oyunculu",İngilizce,Nihon Falcom,,https://store.epicgames.com/tr/p/the-legend-of-heroes-trails-into-reverie
Presences: Dark Awakening,₺61,"Macera, Tek Oyunculu, Korku, Fantezi",,Cozy Marshmallow,PEGI 16,https://store.epicgames.com/tr/p/presences-dark-awakening-b1c9eb
Play with Me: Escape Room,₺40,"Kumanda Desteği, Macera, Bulut Kayıtları, Tek Oyunculu, Bulmaca, Korku",,Airem,PEGI 12,https://store.epicgames.com/tr/p/play-with-me-escape-room-586cc4
HORSE CLUB Adventures 2 - Hazelwood Stories,₺206,"Macera, Tek Oyunculu",,Wild River Games GmbH,PEGI 3,https://store.epicgames.com/tr/p/horse-club-adventures-2-hazelwood-stories-b257d3
Placid Plastic Duck Simulator,₺15,"Simülasyon, Çok Oyunculu, Basit Eğlence, Bulut Kayıtları, Tek Oyunculu, Komedi",,turbolento games,PEGI 3,https://store.epicgames.com/tr/p/placid-plastic-duck-simulator-b65716
Yomi 2,₺279,"Kumanda Desteği, Strateji, Rekabetçi, Kart Oyunu, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Yerel Çok Oyunculu, Çapraz Platform, Online Multiplayer",,Sirlin Games,PEGI 7,https://store.epicgames.com/tr/p/yomi-2-14c463
Line's Guarder,₺76,"Nişancı, Bağımsız, Basit Eğlence, Tek Oyunculu",,Meng Games,PEGI 16,https://store.epicgames.com/tr/p/lines-guarder-174742
RedNeck Bowl Games,₺149,"Tek Oyunculu, Birinci Şahıs",,Veteran Games USA,PEGI 18,https://store.epicgames.com/tr/p/redneck-bowl-games-d39874
Project First Contact,₺23,"Kumanda Desteği, Tek Oyunculu, Fantezi, Birinci Şahıs, Korku",,Atomic Fabrik,PEGI 12,https://store.epicgames.com/tr/p/project-first-contact-ff7fdc
Metro Simulator 2,₺115,"Simülasyon, Tek Oyunculu, Bağımsız, Birinci Şahıs",,KishMish Games,PEGI 3,https://store.epicgames.com/tr/p/metro-simulator-2-532ff8
Apotheorasis • Lab of the Blind Gods,₺105,"Kumanda Desteği, Nişancı, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Hikaye Anlatımı",,Tall Guy Productions,PEGI 12,https://store.epicgames.com/tr/p/apotheorasis-a33e73
Liberte,₺149,"Kumanda Desteği, Tek Oyunculu, Aksiyon, Rogue-lite",,Superstatic,PEGI 16,https://store.epicgames.com/tr/p/liberte-96a5e5
Eigengrau,₺139,"Kumanda Desteği, Nişancı, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Bulmaca",,Martin Mauersics,PEGI 3,https://store.epicgames.com/tr/p/eigengrau-62aef0
NOSTALGIC TRAIN,₺92,"Macera, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",,Tatamibeya,PEGI 3,https://store.epicgames.com/tr/p/nostalgic-train-32f08a
Arcatron-Z,₺31,"Kumanda Desteği, Nişancı, Aksiyon, Bulut Kayıtları, Bağımsız, Tek Oyunculu",,Graphix Games,PEGI 7,https://store.epicgames.com/tr/p/arcatronz-2bb3f2
Polygod,,"Yerel Çok Oyunculu, Tek Oyunculu, Kule Savunması, Rekabetçi",,Polygod,PEGI 16,https://store.epicgames.com/tr/p/polygod-1dde08
Everlasting Guilt,₺76,"Tek Oyunculu, Aksiyon-Macera",,Geeky Mouse,PEGI 16,https://store.epicgames.com/tr/p/everlasting-guilt-213534
Corrupt - Political Simulator,₺31,"Kumanda Desteği, Strateji, Açık Dünya, Tek Oyunculu, Şehir Kurma",,Atomic Fabrik,PEGI 3,https://store.epicgames.com/tr/p/corrupt-political-simulator-f94058
Chased by Darkness,₺38,"Eşli, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Online Multiplayer, Birinci Şahıs, Korku",,South Blue Moon,PEGI 16,https://store.epicgames.com/tr/p/chased-by-darkness-d00d26
Vaudeville,₺149,"Bulut Kayıtları, Açık Dünya, Bağımsız, Tek Oyunculu, Bulmaca",,Bumblebee Studios,PEGI 7,https://store.epicgames.com/tr/p/vaudeville-86cff0
A Long Journey to an Uncertain End,₺189,"RYO, Macera, Tek Oyunculu, Bağımsız",,Crispy Creative,PEGI 12,https://store.epicgames.com/tr/p/a-long-journey-to-an-uncertain-end-514c7e
Samorost 3,₺399,"Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Amanita Design,PEGI 7,https://store.epicgames.com/tr/p/samorost-3-0c4489
Samorost 1,,"Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Amanita Design,PEGI 3,https://store.epicgames.com/tr/p/samorost-1-280ea4
Samorost 2,"₺89,99","Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Amanita Design,PEGI 7,https://store.epicgames.com/tr/p/samorost-2-1b9bb1
SCARY AND DOT,₺15,"Korku, Tek Oyunculu, Birinci Şahıs, Aksiyon",,Performance Artist,PEGI 12,https://store.epicgames.com/tr/p/scary-and-dot-86b1ff
Doomsday: Last Survivors,,"Strateji, RTS, Çapraz Platform",,IGG SINGAPORE PTE. LTD.,PEGI 12,https://store.epicgames.com/tr/p/doomsday-last-survivors-024df3
HAAK,₺138,"RYO, Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Bağımsız",,Blingame,PEGI 12,https://store.epicgames.com/tr/p/haak-1401cb
The Last Case of Benedict Fox,₺189,"Tek Oyunculu, Aksiyon-Macera",,Plot Twist,PEGI 16,https://store.epicgames.com/tr/p/the-last-case-of-benedict-fox-4abc3a
DinoDash,,"Yarış, Strateji, Rekabetçi, Çok Oyunculu",,Alphack Studios Development Team,PEGI 3,https://store.epicgames.com/tr/p/dinodashgame-46ad90
FRONT MISSION 1st: Remake,₺269,"RYO, Sıra Temelli Strateji, Aksiyon, Bulut Kayıtları, Tek Oyunculu",,Forever Entertainment S. A.,PEGI 12,https://store.epicgames.com/tr/p/front-mission-1st-remake-124a24
Pixel Art Coloring Book,₺92,"Tek Oyunculu, Basit Eğlence",,Peaksel,PEGI 3,https://store.epicgames.com/tr/p/pixel-art-coloring-book-a485ef
Frightence,₺38,"Tek Oyunculu, Korku",,Playstige Interactive,PEGI 12,https://store.epicgames.com/tr/p/frightence-46923d
Striker Manager 3,,"Simülasyon, Strateji, Rekabetçi, Çok Oyunculu, Spor",,UPLAY Online,PEGI 18,https://store.epicgames.com/tr/p/striker-manager-3-83d916
The Backrooms 1998 - Found Footage Survival Horror Game,₺76,"Kumanda Desteği, Tek Oyunculu, Bağımsız, Birinci Şahıs, Korku",,Steelkrill Studio,PEGI 16,https://store.epicgames.com/tr/p/the-backrooms-1998-e7f2d7
Bad Rats Revenge,₺15,"Tek Oyunculu, Bağımsız",,Invent4 Entertainment,PEGI 3,https://store.epicgames.com/tr/p/bad-rats-revenge-7f0eed
NOOB - The Factionless,₺775,"RYO, Macera, Sıra Temelli, Tek Oyunculu",,"BlackPixel Studio, Olydri Games",PEGI 7,https://store.epicgames.com/tr/p/noob-the-factionless-ac623f
HORSE CLUB Adventure,₺206,"Macera, Tek Oyunculu",,Wild River Games GmbH,PEGI 3,https://store.epicgames.com/tr/p/horse-club-adventures-19e7a0
Dark Deception: Monsters & Mortals,₺38,"Kumanda Desteği, Rekabetçi, Aksiyon, Eşli, Bağımsız, Çapraz Platform, Online Multiplayer, Korku",,Glowstick Entertainment,PEGI 16,https://store.epicgames.com/tr/p/dark-deception-monsters-and-mortals-e81e50
Your Computer Might Be At Risk,₺92,"Kumanda Desteği, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Hikaye Anlatımı, Bulmaca",,Tenebris Studio,PEGI 12,https://store.epicgames.com/tr/p/your-computer-might-be-at-risk-c5dea9
Shrommzzz,₺61,"Keşif, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Basit Eğlence",,Space Pigeon Studios,PEGI 3,https://store.epicgames.com/tr/p/shrommzzz-426bcd
Reverie: Sweet As Edition,₺99,"Kumanda Desteği, Aksiyon-Macera, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Fantezi",,"Eastasiasoft Limited, Rainbite Ltd.",PEGI 7,https://store.epicgames.com/tr/p/reverie-sweet-as-edition-a2f649
Class of '09,₺76,"RYO, Tek Oyunculu, Hikaye Anlatımı",,SBN3,PEGI 16,https://store.epicgames.com/tr/p/class-of-09-b7c7ab
SLUDGE LIFE 2,"₺231,69","Komedi, Aksiyon-Macera, Keşif, Tek Oyunculu",,Terri Vellmann & Doseone,PEGI 16,https://store.epicgames.com/tr/p/sludge-life-2-456410
Apeiron,,"Strateji, Kart Oyunu, Rogue-lite, Tek Oyunculu, Online Multiplayer",,Foonie Magus PTE Limited.,PEGI 7,https://store.epicgames.com/tr/p/apeiron-b83793
SOULVARS,₺149,"RYO, Kumanda Desteği, Bulut Kayıtları, Bağımsız, Retro, Tek Oyunculu",,"ginolabo, SUCCESS Corp.",PEGI 7,https://store.epicgames.com/tr/p/soulvars-e95ea5
One Lonely Outpost,₺33,"Simülasyon, Tek Oyunculu, Bağımsız, Strateji",,Freedom Games,PEGI 3,https://store.epicgames.com/tr/p/one-lonely-outpost-12afa6
Bob: A thousand lives Enhanced Edition,₺76,"Kumanda Desteği, Tek Oyunculu, Aksiyon-Macera, Platform",,Putnai Csaba,PEGI 12,https://store.epicgames.com/tr/p/bob-a-thousand-lives-802452
Vectoroids,₺15,"Kumanda Desteği, Nişancı, Eşli, Bağımsız, Retro, Tek Oyunculu, Yerel Çok Oyunculu",,LoadUpGames.com,PEGI 3,https://store.epicgames.com/tr/p/vectoroids-e30c27
RoboSquad Revolution,₺419,"Kumanda Desteği, Rekabetçi, Nişancı, Aksiyon, Eşli, Çapraz Platform, Online Multiplayer",,Zorans Resistance,PEGI 7,https://store.epicgames.com/tr/p/zorans-resistance-2bc134
THE SILENT CITY CHAPTER 1,₺46,"Korku, Tek Oyunculu, Bağımsız, Aksiyon",,LEMIOUTGAMES,PEGI 18,https://store.epicgames.com/tr/p/the-silent-city-chapter-1-94a47d
Journey Into Darkness,₺38,"Kumanda Desteği, Çok Oyunculu, Keşif, Eşli, Tek Oyunculu, Çapraz Platform, Macera, Korku",,Star Seeker Studio,PEGI 12,https://store.epicgames.com/tr/p/journey-into-darkness-2b6bf8
Rise of Jericho,₺210,"Şehir Kurma, Tek Oyunculu, Bağımsız, Strateji",,Sudaka Games,PEGI 16,https://store.epicgames.com/tr/p/rise-of-jericho-cb083c
Dr. Virus,₺23,"Bulmaca, Tek Oyunculu, Basit Eğlence",,Giro Gamez,PEGI 3,https://store.epicgames.com/tr/p/dr-virus-9b3243
Hiveswap Friendsim,₺99,"Macera, Komedi, Tek Oyunculu, Hikaye Anlatımı",,"What Pumpkin Games, Inc.",PEGI 12,https://store.epicgames.com/tr/p/hiveswap-friendsim-ec9c82
Candle Knight,₺115,"Kumanda Desteği, Platform, Aksiyon-Macera, Tek Oyunculu, Macera",,Dracma Studios,PEGI 7,https://store.epicgames.com/tr/p/candle-knight-b52970
Nova Lands,₺199,"Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera",,BEHEMUTT,PEGI 7,https://store.epicgames.com/tr/p/nova-lands-4d1788
Pesterquest,₺92,"Macera, Komedi, Tek Oyunculu, Hikaye Anlatımı",,"What Pumpkin Games, Inc.",PEGI 16,https://store.epicgames.com/tr/p/pesterquest-de8729
"7,62 High Calibre + 7,62 Hard Life",₺114,"Simülasyon, RYO, Tek Oyunculu, Aksiyon",,"Apeiron, HLA team",PEGI 16,https://store.epicgames.com/tr/p/762-high-calibre-762-hard-life-93f60a
The Bookwalker: Thief of Tales,₺149,"Sıra Temelli, Macera, Tek Oyunculu, Hikaye Anlatımı",,DO MY BEST,PEGI 12,https://store.epicgames.com/tr/p/the-bookwalker-cd43ce
You Can Do! mino,₺31,"Simülasyon, Bulmaca, Tek Oyunculu, Bağımsız",,Jun,PEGI 3,https://store.epicgames.com/tr/p/youcandomino-04e596
Dr. Fetus' Mean Meat Machine,₺105,"Bulut Kayıtları, Bulmaca, Tek Oyunculu, Aksiyon",,Headup,PEGI 12,https://store.epicgames.com/tr/p/dr-fetus-mean-meat-machine-d6a29e
Fly Corp,₺206,"Simülasyon, Tek Oyunculu, Strateji",,KishMish Games,PEGI 3,https://store.epicgames.com/tr/p/fly-corp-398021
Life Changer,"₺73,80","Simülasyon, Strateji, Rekabetçi, Tek Oyunculu, Bağımsız, Yerel Çok Oyunculu",,DCTK,PEGI 3,https://store.epicgames.com/tr/p/life-changer-64fc81
Souls Of Chronos,₺115,"Kumanda Desteği, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Fantezi, Macera",,FUTU Studio,PEGI 12,https://store.epicgames.com/tr/p/souls-of-chronos-3b6ffa
Active DBG: Brave's Rage,₺138,"Kumanda Desteği, Kart Oyunu, Rogue-lite, Tek Oyunculu, Bağımsız",,ISVR,PEGI 7,https://store.epicgames.com/tr/p/active-dbg-braves-rage-deed2f
Gods Unchained,,"Strateji, Rekabetçi, Kart Oyunu, Tek Oyunculu, Çapraz Platform, Fantezi, Online Multiplayer",,Immutable Games Studio,PEGI 18,https://store.epicgames.com/tr/p/gods-unchained-9b2cb5
Coffee Talk Episode 2 - Hibiscus & Butterfly,₺115,"Bulut Kayıtları, Tek Oyunculu, Hikaye Anlatımı",,Toge Productions,PEGI 12,https://store.epicgames.com/tr/p/coffee-talk-episode-2-hibiscus-and-butterfly-c110ad
Last Labyrinth,₺229,"VR, Kumanda Desteği, Macera, Tek Oyunculu, Bağımsız, Bulmaca",,AMATA K.K.,PEGI 18,https://store.epicgames.com/tr/p/last-labyrinth-5aed27
