Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
Hell Let Loose - Deluxe Edition,₺1.999,"Rekabetçi, Nişancı, Başarılar, Online Multiplayer, Birinci Şahıs",,Team17,PEGI 16,https://store.epicgames.com/tr/p/hell-let-loose-hell-let-loose-deluxe-edition-abe756
Robocop - Alex Murphy Sürümü,₺1.714,"Nişancı, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Başarılar",,Teyon,PEGI 18,https://store.epicgames.com/tr/p/robocop-rogue-city--alex-murphy-edition
Anno 117: Pax Romana,₺1.749,"Simülasyon, Şehir Kurma, Strateji",,Ubisoft Entertainment,PEGI 12,https://store.epicgames.com/tr/p/anno-117-pax-romana
Cloudheim,"₺276,54","RYO, Kumanda Desteği, Aksiyon-Macera, Eşli, Bulut Kayıtları",,Noodle Cat Games,PEGI 7,https://store.epicgames.com/tr/p/cloudheim-9fdc70
Clash - Artifacts of Chaos,₺280,"Bulut Kayıtları, Tek Oyunculu, Aksiyon-Macera",,ACE Team,PEGI 12,https://store.epicgames.com/tr/p/clash-artifacts-of-chaos-53e881
Mortal Online 2,₺309,"RYO, Açık Dünya, Birinci Şahıs, MMO",,Star Vault AB,PEGI 18,https://store.epicgames.com/tr/p/mortal-online-2-d7bb78
Idle Champions of the Forgotten Realms,₺46,"Tek Oyunculu, Strateji",,Codename Entertainment,PEGI 12,https://store.epicgames.com/tr/p/idle-champions-of-the-forgotten-realms
Turnip Boy Robs a Bank,₺115,"Kumanda Desteği, Rogue-lite, Tek Oyunculu, Bağımsız, Komedi",,Snoozy Kazoo,PEGI 12,https://store.epicgames.com/tr/p/turnip-boy-robs-a-bank-3fae0e
Cozy Grove,₺12,"Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Basit Eğlence",,Spry Fox,PEGI 3,https://store.epicgames.com/tr/p/cozy-grove
Isonzo,₺1.243,"Kumanda Desteği, Strateji, Nişancı, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,BlackMill Games,PEGI 18,https://store.epicgames.com/tr/p/isonzo
Resident Evil Requiem,₺2.999,"Kumanda Desteği, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Korku",,CAPCOM,PEGI 18,https://store.epicgames.com/tr/p/resident-evil-requiem-4ead6d
ARC Raiders,₺1.650,"Hayatta Kalma, Kumanda Desteği, Nişancı, Aksiyon-Macera, Çapraz Platform, Online Multiplayer",,Embark Studios,PEGI 16,https://store.epicgames.com/tr/p/arc-raiders
Grand Theft Auto V Enhanced,₺1.049,"Çok Oyunculu, Aksiyon, Eşli, Açık Dünya, Tek Oyunculu, Başarılar, Macera",,Rockstar Games,PEGI 18,https://store.epicgames.com/tr/p/grand-theft-auto-v
Dead by Daylight,₺599,"Hayatta Kalma, Online Multiplayer, Aksiyon",,Behaviour Interactive,PEGI 18,https://store.epicgames.com/tr/p/dead-by-daylight
World War Z: Aftermath,₺520,"Hayatta Kalma, Kumanda Desteği, Çok Oyunculu, Nişancı, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu",,Saber Interactive,PEGI 18,https://store.epicgames.com/tr/p/world-war-z
EA SPORTS FC™ 26 Standart Sürüm,"₺2.599,99","Simülasyon, Çok Oyunculu, Eşli, Tek Oyunculu, Spor",,EA CANADA,PEGI 3,https://store.epicgames.com/tr/p/ea-sports-fc-26
Crimson Desert,₺2.999,"Kumanda Desteği, Aksiyon-Macera, Açık Dünya, Tek Oyunculu, Fantezi",,Pearl Abyss,PEGI 18,https://store.epicgames.com/tr/p/crimson-desert-6d6135
WRC 10 FIA World Rally Championship,₺174,"Simülasyon, Bulut Kayıtları, Yarış, Rekabetçi","İngilizce, İtalyanca, Fransızca, Almanca, İspanyolca - İspanya, Arapça, Japonca, Basitleştirilmiş Çince, Geleneksel Çince, Korece, Lehçe, Brezilya Portekizcesi, Rusça",KT Racing,PEGI 3,https://store.epicgames.com/tr/p/wrc-10
Battlefield™ 6,"₺2.599,99","Çok Oyunculu, Nişancı, Tek Oyunculu, Başarılar, Birinci Şahıs","Seslendirme: İngilizce, Brezilya Portekizcesi, Basitleştirilmiş Çince, Fransızca, Almanca, İtalyanca, Korece, Lehçe, İspanyolca (Latin Amerika), İspanyolca (İspanya), Japonca |  Arapça, Brezilya Portekizcesi, Basitleştirilmiş Çince, Geleneksel Çince, İngilizce, Fransızca, Almanca, İtalyanca, Japonca, Korece, Lehçe, İspanyolca (İspanya), İspanyolca (Latin Amerika)",Battlefield Studios,PEGI 16,https://store.epicgames.com/tr/p/battlefield-6
Alan Wake 2,₺912,"Nişancı, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Başarılar, Korku",,Remedy Entertainment,PEGI 18,https://store.epicgames.com/tr/p/alan-wake-2
DEATH STRANDING 2: ON THE BEACH,₺3.449,"Bulut Kayıtları, Tek Oyunculu, Aksiyon, Kumanda Desteği",,"KOJIMA PRODUCTIONS, Nixxes Software",PEGI 18,https://store.epicgames.com/tr/p/death-stranding-2-on-the-beach-7773ec
Red Dead Redemption 2,₺2.299,"Açık Dünya, Hikaye Anlatımı, Aksiyon, Tek Oyunculu","İngilizce, Basitleştirilmiş Çince, Geleneksel Çince, Brezilya Portekizcesi, Fransızca, Almanca, İtalyanca, Japonca, Korece, Lehçe, Rusça, Portekizce, İspanyolca (İspanya) ve İspanyolca (Latin Amerika)",Rockstar Games,PEGI 18,https://store.epicgames.com/tr/p/red-dead-redemption-2
Marvel's Spider-Man 2,₺1.499,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera",,"Insomniac Games, Nixxes Software",PEGI 16,https://store.epicgames.com/tr/p/marvels-spider-man-2
Football Manager 26,₺1.999,"Simülasyon, Strateji, Tek Oyunculu, Online Multiplayer, Spor",,Sports Interactive,PEGI 3,https://store.epicgames.com/tr/p/football-manager-26-080e85
Cyberpunk 2077,₺999,"RYO, Kumanda Desteği, Aksiyon, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Başarılar, Macera",,CD PROJEKT RED,PEGI 18,https://store.epicgames.com/tr/p/cyberpunk-2077
Farming Simulator 25,₺1.089,"Simülasyon, Kumanda Desteği, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,GIANTS Software GmbH,PEGI 3,https://store.epicgames.com/tr/p/farming-simulator-25-917e48
SnowRunner,₺550,"Simülasyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Macera",,Saber Interactive,,https://store.epicgames.com/tr/p/snowrunner
Vampire: The Masquerade – Swansong,₺179,"RYO, Tek Oyunculu, Hikaye Anlatımı","İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya), İspanyolca (Latin Amerika), Lehçe, Rusça, Basitleştirilmiş Çince, Geleneksel Çince, Korece, Japonca, Brezilya Portekizcesi",Big Bad Wolf,,https://store.epicgames.com/tr/p/vampire-the-masquerade-swansong
PC Building Simulator 2,₺161,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Başarılar, Basit Eğlence",,Spiral House Ltd,,https://store.epicgames.com/tr/p/pc-building-simulator-2
Black Myth: Wukong,₺1.499,"RYO, Kumanda Desteği, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Game Science,PEGI 16,https://store.epicgames.com/tr/p/black-myth-wukong-87a72b
