Oyun Adi,Fiyat,URL,Diller,PEGI,Platformlar
Poppy Playtime: Chapter 1,"14,00 ₺",https://www.xbox.com/tr-TR/games/store/poppy-playtime-chapter-1/9NQGGN01771Z/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Warframe,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/warframe/BPS3XF74B9V1/0001,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Palia,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/palia/9MTLHG50W87K/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
World of Tanks Blitz,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-tanks-blitz/9NBLGGH202H8/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
MY HERO ULTRA RUMBLE,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/my-hero-ultra-rumble/9MZ607S3NJRB/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
World of Tanks Modern Armor – Demir Ufuk Başlangıç Paketi,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-tanks-modern-armor-demir-ufuk-baslangic-paketi/9PD9W19W0DXL/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Mortal Kombat™ 1,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/mortal-kombat-1/9N7271QN4SGB/0010,9 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Starlit Kart Racing,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/starlit-kart-racing/9PP6RNF7V71T/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Batman: Return to Arkham,"175,00 ₺",https://www.xbox.com/tr-TR/games/store/batman-return-to-arkham/BRW49CBS558D/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
UFC™ 5 Deluxe Edition,"3.299,99 ₺+",https://www.xbox.com/tr-TR/games/store/ufc-5-deluxe-edition/9NXTCLM90W7V/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
2XKO,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/2xko/9PNWBQ5561CK/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
