oyun_adi,platform,cihaz_turu,kategori,yas_siniri,fiyat,gelistirici,tehlikeli_kategori,tehlikeli_oyun
60 Parsecs!,Epic Games,PC,"Hayatta Kalma, Tek Oyunculu, Strateji, Macera",7,2.22,Robot Gentleman,0,1
High On Life,Epic Games,"PC, Konsol","Kumanda Desteği, Nişancı, Tek Oyunculu, Birinci Şahıs, Komedi",18,14.8,Squanch Games,1,0
Wavetale,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Aksiyon-Macera, Kumanda Desteği",7,6.29,Thunderful Development,0,0
Pirates Outlaws,Epic Games,"PC, Konsol","Tek Oyunculu, Kart Oyunu",16,0.74,Fabled Game Limited,0,0
Seal of Evil,Epic Games,PC,"RYO, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Macera",3,0.38,"Object Software Limited, ZOOM Platform",0,0
Victorian Admirals,Epic Games,PC,"Simülasyon, Tek Oyunculu",3,0.74,Totem Games,0,0
Blood of steel,Epic Games,PC,"MOBA, MMO",18,2.07,YC Games,0,0
IXION,Epic Games,"PC, Konsol","Hayatta Kalma, Strateji, Bulut Kayıtları, Tek Oyunculu, Şehir Kurma",7,1.55,Bulwark Studios,0,1
Togges,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Bağımsız, Kumanda Desteği",3,0.72,Regular Studio,0,0
The Land of Pain,Epic Games,PC,"Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera, Korku",16,4.81,Alessandro Guzzo,1,0
Need for Speed™ Unbound,Epic Games,PC,"Kumanda Desteği, Çok Oyunculu, Yarış, Aksiyon, Tek Oyunculu, Başarılar",12,26.95,Criterion Games,0,0
Wonderputt Forever,Epic Games,PC,"Tek Oyunculu, Spor",3,0.38,Damp Gnat,0,0
Marvel's Midnight Suns,Epic Games,PC,"RYO, Tek Oyunculu, Strateji, Sıra Temelli Strateji",12,15.7,Firaxis Games,0,0
NEW Joe & Mac - Caveman Ninja,Epic Games,"PC, Konsol","Bulut Kayıtları, Platform, Eşli",7,15.16,Mr. Nutz,0,0
I Saw Black Clouds,Epic Games,"PC, Konsol","Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Bağımsız, Korku",18,4.0,Ghost Dog Films,1,0
Night Book,Epic Games,"PC, Konsol","Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera",16,4.0,"Wales Interactive, Good Gate Media",0,0
Fire Commander,Epic Games,PC,"Tek Oyunculu, Strateji, Aksiyon",12,0.56,"Atomic Wolf, Pixel Crow Games",0,0
Somerville,Epic Games,"PC, Konsol","Macera, Tek Oyunculu",12,0.88,Jumpship,0,0
Beat Hazard 3,Epic Games,PC,"Kumanda Desteği, Aksiyon, Müzik, Tek Oyunculu, Bağımsız",7,0.7,Cold Beam Games Ltd,0,0
TERRACOTTA,Epic Games,PC,"Tek Oyunculu, Bağımsız, Aksiyon",7,0.74,Appnormals Team,0,0
Blossom Tales 2: The Minotaur Prince,Epic Games,PC,"Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Bağımsız, Bulmaca",7,0.56,Castle Pixel,0,0
Bloodshore,Epic Games,"PC, Konsol","Kumanda Desteği, Aksiyon, Tek Oyunculu, Bağımsız, Macera",18,4.0,"Good Gate Media, Wayout Pictures, Posterity Entert",0,0
Alba - A Wildlife Adventure,Epic Games,PC,"Tek Oyunculu, Basit Eğlence",3,0.61,ustwo games,0,0
Hunter Girls,Epic Games,PC,"Platform, Tek Oyunculu, Zindan Tarayıcısı, Aksiyon",7,0.18,Denis Lutsenko,0,0
Paramnesia,Epic Games,PC,"Macera, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",12,1.5,Denis Lutsenko,0,0
Franchise Hockey Manager 9,Epic Games,PC,"Simülasyon, Çok Oyunculu, Tek Oyunculu, Spor",3,1.37,Out of the Park Developments and game54 Software,0,0
Vertical Third Tech Demo,Epic Games,PC,"Macera, Çok Oyunculu",3,,Stark Gaming Inc,0,0
ATOM RPG Trudograd,Epic Games,PC,"RYO, Hayatta Kalma, Sıra Temelli, Tek Oyunculu",18,0.45,ATOM TEAM,0,0
Who Pressed Mute on Uncle Marcus?,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera, Basit Eğlence",16,4.0,"Wales Interactive, Good Gate Media",0,0
Dishonored 2,Epic Games,PC,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera, Gizlilik",18,5.82,Arkane Studios,0,0
Missile Command: Recharged,Epic Games,"PC, Konsol","Kumanda Desteği, Nişancı, Aksiyon, Eşli, Tek Oyunculu, Retro",3,0.38,"AdamVision, SneakyBox",1,1
Evil Nun: The Broken Mask,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Bulmaca, Birinci Şahıs, Korku",16,3.35,Keplerians and Carlos Coronado,1,0
Charon's Staircase,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Hikaye Anlatımı, Macera, Korku",16,0.88,Indigo Studios,1,0
The Shapeshifting Detective,Epic Games,"PC, Konsol","Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera",16,4.0,"D'Avekki Studios Ltd, Wales Interactive",0,0
Saturnalia,Epic Games,PC,"Hayatta Kalma, Tek Oyunculu, Korku, Macera",16,9.41,Santa Ragione,1,0
Maid of Sker,Epic Games,"PC, Konsol","Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Bağımsız, Korku",18,7.84,Wales Interactive,1,0
Sackboy™: Büyük Macera,Epic Games,PC,"Kumanda Desteği, Platform, Çok Oyunculu, Eşli, Bulut Kayıtları, Tek Oyunculu, Macera",7,24.69,Sumo Digital,0,0
ARKANOID - ETERNAL BATTLE,Epic Games,"PC, Konsol","Online Multiplayer, Bağımsız, Aksiyon, Yerel Çok Oyunculu",3,6.85,Pastagames,0,0
Asterix & Obelix XXXL : The Ram From Hibernia,Epic Games,"PC, Konsol","Aksiyon-Macera, Eşli, Tek Oyunculu, Yerel Çok Oyunculu, Dövüş",7,19.65,OSome Studio,1,1
Assassin's Creed Chronicles: India,Epic Games,PC,"Macera, Gizlilik, Tek Oyunculu, Aksiyon",16,5.59,Climax Studios | Ubisoft Montreal,0,0
Assassin's Creed Chronicles: China,Epic Games,PC,"Macera, Gizlilik, Tek Oyunculu, Aksiyon",16,5.59,Climax Studios | Ubisoft Montreal,0,0
Assassin's Creed Chronicles: Russia,Epic Games,PC,"Macera, Gizlilik, Tek Oyunculu, Aksiyon",16,5.59,Climax Studios | Ubisoft Montreal,0,0
Murder Is Game Over,Epic Games,PC,"Macera, Tek Oyunculu, Bağımsız, Keşif",12,0.18,Hitheryon Games,0,0
I See Red,Epic Games,PC,"Kumanda Desteği, Tek Oyunculu, Rogue-lite",16,2.36,Whiteboard Games,0,0
Eximius: Seize the Frontline,Epic Games,PC,"Strateji, Aksiyon, Eşli, Tek Oyunculu, Online Multiplayer",16,6.27,Ammobox Studios,0,0
Gotham Knights,Epic Games,"PC, Konsol","Aksiyon, Eşli, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Macera",16,11.21,Warner Bros. Games Montreal | QLOC,0,0
The Bunker,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera, Korku",16,4.0,"Splendy Interactive, Wales Interactive",1,0
Late Shift,Epic Games,"PC, Konsol","Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera",18,4.0,CtrlMovie,0,0
